condition,currency,category,year,make,model,location,s/n,reg,total_hours,national_origin,standard_price,hour,price,country
Used,USD,Single Engine Piston,2016,CIRRUS,SR22-G5 TURBO,"North America + Canada, United States - NV",1301,N702EC,996.0,United States,650000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2004,AIRBUS HELICOPTERS,EC 120B,"Europe, Sweden",1395,SE-JUT,3699.0,EU,785400.0,upto 4000 hours,upto 1000000 hours,Other
Used,USD,Turbine Helicopters,1996,BELL TEXTRON,206B III,"Africa, South Africa",-,-,4101.0,United States,675000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2007,PIPER AIRCRAFT,Malibu Mirage,"North America + Canada, United States - OH",4636401,N1065D,1100.0,United States,669000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2014,ROBINSON HELICOPTER,R66,"Africa, South Africa",-,-,310.0,United States,680000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1992,BELL TEXTRON,206L 3,"South America, Venezuela",51605,-,76704.0,United States,680000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1996,BELL TEXTRON,206B III,"Australia & NZ, Australia",TBD,-,1160.0,United States,685000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2014,ROBINSON HELICOPTER,R66,"Africa, South Africa",-,-,310.0,United States,680000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2016,CIRRUS,SR22-G5 TURBO,"North America + Canada, United States - UT",1333,N221VC,577.0,United States,689000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2001,MCDONNELL DOUGLAS HELICOPTER SYSTEMS,600N,"Australia & NZ, New Zealand",-,-,1469.0,United States,695000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2013,BEECHCRAFT,G36 Bonanza,"Africa, South Africa",-,-,369.0,United States,655000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turboprops,1981,CESSNA,Conquest I,"Africa, South Africa",-,-,5415.0,United States,645000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Private Jets,1986,CESSNA,CITATION SII,"North America + Canada, United States - UT",S550-0119,N616TG,8392.0,United States,649000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Turboprops,1989,PIPER AIRCRAFT,JetProp,"Europe, Austria",4622008,D EKFD,4916.0,United States,772310.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2018,CIRRUS,SR22 G6,"North America + Canada, United States - FL",4687,N407KP,925.0,United States,649000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Private Jets,1987,Bombardier Learjet,35A,"North America + Canada, United States - OH",630,N388PD,4364.0,Canada,649500.0,upto 10000 hours,upto 1000000 hours,Other
Used,USD,Turbine Helicopters,1998,AIRBUS HELICOPTERS,EC 120B,"Australia & NZ, New Zealand",-,ZK-HII,2824.0,EU,595000.0,upto 4000 hours,upto 1000000 hours,Other
Used,USD,Turboprops,2004,BEECHCRAFT,A36 Bonanza TP,"Africa, South Africa",-,-,1200.0,United States,595000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1980,BELL TEXTRON,206L 1,"Europe, Denmark",45368,OY-HPI,6400.0,United States,595000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2014,CIRRUS,SR22-G5 TURBO,"North America + Canada, United States - FL",924,N520CT,1065.0,United States,615000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2013,ROBINSON HELICOPTER,R66,"Europe, Austria",443,SP-MWW,106.0,United States,625000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2017,CIRRUS,SR22T G6 GTS,"North America + Canada, United States - FL",4540,N954KP,1525.0,United States,625000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2013,CIRRUS,SR22-G5 TURBO,"North America + Canada, United States - TX",676,N20KK,415.0,United States,625000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2015,CIRRUS,SR22-G5 TURBO,"Europe, Switzerland",1219,-,288.0,United States,640000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turboprops,1981,CESSNA,Conquest I,"Africa, South Africa",-,-,5415.0,United States,645000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2019,MOONEY INTERNATIONAL CORP,M20U OVATION ULTRA,"North America + Canada, United States - FL",32-0009,N7323M,100.0,United States,639000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2002,AIRBUS HELICOPTERS,EC 120,"Europe, North Ireland, United Kingdom",1286,IZOB,2730.0,EU,825000.0,upto 4000 hours,upto 1000000 hours,Other
Used,USD,Single Engine Piston,2016,CIRRUS,SR22 G5,"North America + Canada, United States - KS",4395,N520GW,640.0,United States,550000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turboprops,1977,BEECHCRAFT,King Air C90,"Europe, Sweden",LJ723,SE-IIB,10298.0,United States,555000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2013,CIRRUS,SR22-G5 TURBO,"North America + Canada, United States - NC",599,N138PG,1435.0,United States,555000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2010,PIPER AIRCRAFT,Matrix,"Europe, Czech Republic",4692140,Ok-KLM,1507.0,United States,665210.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1979,BELL TEXTRON,206L 1,"Australia & NZ, Australia",-,-,22543.0,United States,559000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2014,CIRRUS,SR22-G5 TURBO,"North America + Canada, United States - CA",705,N784RJ,1136.0,United States,560000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Piston Helicopters,2020,ROBINSON HELICOPTER,R44 Raven II,"Europe, Austria",14368,OE-XYD,0.0,United States,574000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2013,CIRRUS,SR22-G5 TURBO,"Africa, South Africa",470,ZS-CLP,730.0,United States,575000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1986,BELL TEXTRON,206L 3,Asia,51204,-,8621.0,United States,575000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2005,AIRBUS HELICOPTERS,EC 120B,"Africa, South Africa",1406,ZT-RTC,5086.0,EU,696150.0,upto 10000 hours,upto 1000000 hours,Other
Used,USD,Twin Piston,2010,PIPER AIRCRAFT,Seneca V,"Europe, Sweden",3449410,SE-MIT,440.0,United States,575000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2014,CIRRUS,SR22-G5 TURBO,"North America + Canada, United States - NC",892,N74BY,685.0,United States,589000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Private Jets,1981,Bombardier Learjet,55,"North America + Canada, United States - OH",6,N655TR,139035.0,Canada,595000.0,more than 10000 hours,upto 1000000 hours,Other
Used,USD,Single Engine Piston,2015,CIRRUS,SR22 G5 GTS,"North America + Canada, United States - FL",4294,N828GG,1185.0,United States,575000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Piston Helicopters,2020,ROBINSON HELICOPTER,R44 Raven II,"Europe, Austria",14364,TBA,0.0,United States,619000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2013,CESSNA,Turbo 206H Stationair,"North America + Canada, United States - TX",T20609088,N908CS,1545.0,United States,499000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1994,BELL TEXTRON,230,"Australia & NZ, Australia",-,-,6559.0,United States,499000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2013,CIRRUS,SR22T GTS,"North America + Canada, United States - TN",670,N722SL,1325.0,United States,499900.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Private Jets,1993,CESSNA,CITATION V,"Europe, Turkey",560-0216,TC-LAB,5211.0,United States,500000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2020,ROBINSON HELICOPTER,R44 Raven II,"Europe, Austria",14376,TBA,0.0,United States,520760.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2012,ROBINSON HELICOPTER,R66,"Europe, England, United Kingdom",-,-,720.0,United States,693000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Piston Helicopters,2020,ROBINSON HELICOPTER,R44 Raven II,"Europe, Austria",14381,TBA,0.0,United States,532000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2012,ROBINSON HELICOPTER,R66,"Africa, South Africa",-,-,890.0,United States,535000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2014,CIRRUS,SR22-G5 TURBO,"North America + Canada, United States - OH",700,N778GT,1190.0,United States,549000.0,upto 2000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2014,CIRRUS,SR22 G5 GTS,"North America + Canada, United States - FL",4076,N501PT,963.0,United States,549000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1986,Agusta,A109A II,"North America + Canada, United States - MD",7355,N7242N,20971.0,Italy,550000.0,more than 10000 hours,upto 1000000 hours,Other
Used,USD,Private Jets,1980,CESSNA,CITATION II,"North America + Canada, United States - MO",550-0166,N867JC,1036040.0,United States,550000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1982,BELL TEXTRON,206B III,"Australia & NZ, New Zealand",TBD,-,9249.0,United States,550000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,2001,AIRBUS HELICOPTERS,EC 120B,"North America + Canada, United States",-,-,3500.0,EU,550000.0,upto 4000 hours,upto 1000000 hours,Other
Used,USD,Turboprops,1977,BEECHCRAFT,King Air B100,"Africa, South Africa",BE-20,5R-MKY,8656.0,United States,550000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Private Jets,1988,BEECHCRAFT,Beechjet 400,"South America, Venezuela",RJ 52,YV3153,77596.0,United States,550000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Turboprops,1981,BEECHCRAFT,King Air C90,"Africa, South Africa",-,-,6412.0,United States,550000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1987,BELL TEXTRON,206L 3,"Australia & NZ, New Zealand",TBD,-,9300.0,United States,505850.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Turboprops,1985,CESSNA,Caravan II Reims F406,"North America + Canada, United States - FL",406-0001,N17CK,5487.0,United States,595000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Private Jets,1984,CESSNA,CITATION III,"North America + Canada, Mexico",650-0032,XA-PRO,1053030.0,United States,595000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Turboprops,1978,BEECHCRAFT,King Air E90,"North America + Canada, United States - TX",LW-301 ,N618RD,10730.0,United States,450000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1990,AIRBUS HELICOPTERS,AS 355F-2,"Europe, England, United Kingdom",5453,G-BSTE,22642.0,EU,594000.0,more than 10000 hours,upto 1000000 hours,Other
Used,USD,Single Engine Piston,2011,CIRRUS,SR22-G3 Turbo,"Africa, South Africa",3807,ZS-MWA,438.0,United States,450000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2009,CIRRUS,SR22-G3 Turbo,"North America + Canada, United States - OH",3428,N98LW,1660.0,United States,450000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2010,CIRRUS,SR22 G3 Turbo GTS,"North America + Canada, Canada",42,N1508K,900.0,United States,459900.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2010,CIRRUS,SR22 G3 Turbo GTX,"North America + Canada, United States - GA",36,N811JM,1301.0,United States,459000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1976,BELL TEXTRON,206 LR,"Australia & NZ, New Zealand",-,-,15500.0,United States,469000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Turboprops,2004,BEECHCRAFT,A36 Bonanza TP,"Africa, South Africa",-,-,1200.0,United States,480000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1979,AIRBUS HELICOPTERS,AS 350B,"Europe, Sweden",1130,SE-JGV,7855.0,EU,577150.0,upto 10000 hours,upto 1000000 hours,Other
Used,USD,Piston Helicopters,2018,ROBINSON HELICOPTER,R44 Raven II,"North America + Canada, Canada",14135,C-GJEB,100.0,United States,489000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2012,CIRRUS,SR22 G3 GTS,"North America + Canada, United States - OH",3835,N22XJ,802.0,United States,485000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1981,BELL TEXTRON,206L 1,"Europe, England, United Kingdom",45704,G-OSAR,9100.0,United States,490000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1976,BELL TEXTRON,206 LR,"Australia & NZ, New Zealand",0,-,15465.0,United States,495000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,2014,ROBINSON HELICOPTER,R66,"Europe, England, United Kingdom",-,-,670.0,United States,653400.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1975,BELL TEXTRON,206B III,"Europe, Spain",1827,SE-HOZ,4400.0,United States,589050.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Piston Helicopters,2020,ROBINSON HELICOPTER,R44,"Europe, Austria",30061,TBA,0.0,United States,455000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1990,AIRBUS HELICOPTERS,BO 105CBS-4,"Australia & NZ, New Zealand",-,-,10601.0,EU,449000.0,more than 10000 hours,upto 500000 hours,Other
Used,USD,Single Engine Piston,2007,CESSNA,TU 206,"North America + Canada, Mexico",20608299,XB-ANT,20107.0,United States,450000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,2013,ROBINSON HELICOPTER,R66,"Australia & NZ, New Zealand",-,-,2000.0,United States,400000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2008,CIRRUS,SR22 G3 Turbo GTS,"North America + Canada, United States - MI",3287,N787JD,1250.0,United States,419000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Twin Piston,2006,DIAMOND AIRCRAFT INDUSTRIES,DA42 TDi,"North America + Canada, United States - FL",42.AC011,N629SA,3155.0,AUSTRIA,419900.0,upto 4000 hours,upto 500000 hours,Other
Used,USD,Turbine Helicopters,1977,BELL TEXTRON,206L,"Europe, France",45082,F-GXJH,17684.0,United States,420000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Twin Piston,1979,CESSNA,414,"North America + Canada, United States - FL",414A-0202,N9NC,6438.0,United States,420000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1982,BELL TEXTRON,206B III,"Africa, South Africa",-,-,10290.0,United States,420000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2005,ROBINSON HELICOPTER,R44 Clipper II,"Europe, United Kingdom",-,-,2194.0,United States,554400.0,upto 4000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2008,PIPER AIRCRAFT,Matrix,"North America + Canada, United States - MN",4692023,N249C,1680.0,United States,425000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1981,BELL TEXTRON,206B III,"Europe, England, United Kingdom",8608,G-SPEY,75455.0,United States,561000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Turbine Helicopters,1975,Aerospatiale,Gazelle,"Europe, Netherlands",1295,-,5115.0,France,505750.0,upto 10000 hours,upto 1000000 hours,Other
Used,USD,Single Engine Piston,2010,CIRRUS,SR22 G3 Turbo GTS,"North America + Canada, United States - FL",3667,N476TK,738.0,United States,439000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1978,BELL TEXTRON,206B III,"Australia & NZ, New Zealand",-,-,7216.0,United States,440000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2020,ROBINSON HELICOPTER,R44 Raven I,"Europe, Austria",2608,OE-XYE,0.0,United States,444000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1979,BELL TEXTRON,206B III,"North America + Canada, United States - NE",2637,N3523T ,130686.0,United States,445000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2020,ROBINSON HELICOPTER,R44 Raven I,"Europe, Austria",TBA,TBA,0.0,United States,446000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2009,CIRRUS,SR22 G3 Turbo GTS,"North America + Canada, United States - GA",3601,N628EC,850.0,United States,419000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Turboprops,1974,BEECHCRAFT,King Air A100,"North America + Canada, United States - WA",B-185,N270KW,109828.0,United States,375000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Military/Classic/Vintage,1954,YAKOVLEV,Yak 11,"Europe, Poland",11-01M,SP-YAQ,560.0,Soviet Union,446250.0,upto 1000 hours,upto 500000 hours,Other
Used,USD,Twin Piston,1992,BEECHCRAFT,58 Baron,"Central America, Panama",TH-1657,YV2606,45317.0,United States,375000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Twin Piston,2005,DIAMOND AIRCRAFT INDUSTRIES,DA-42 NG,"Europe, Austria",42.06,-,4500.0,AUSTRIA,451605.0,upto 10000 hours,upto 500000 hours,Other
Used,USD,Turbine Helicopters,1987,Agusta,A109A II,"Europe, England, United Kingdom",7393,G-MDPI,50996.0,Italy,508200.0,more than 10000 hours,upto 1000000 hours,Other
Used,USD,Private Jets,1978,LOCKHEED CORPORATION,Jetstar II,"North America + Canada, United States - TX",5224,N700RM,7775.0,United States,385000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1974,MCDONNELL DOUGLAS HELICOPTER SYSTEMS,500C,"Europe, United Kingdom",TBD,DHBBA,5574.0,United States,390000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,2014,ROBINSON HELICOPTER,R66,"Europe, Switzerland",553,HB-ZOK,1900.0,United States,464100.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Private Jets,1988,DASSAULT AVIATION,50,"North America + Canada, United States - MO",50-0174,N50FX,8643.0,France,395000.0,upto 10000 hours,upto 500000 hours,Other
Used,USD,Turbine Helicopters,1975,BELL TEXTRON,206B II,"Europe, Sweden",1717,SE-HTP,3973.0,United States,395000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Private Jets,1979,Bombardier Learjet,35A,"North America + Canada, United States - AZ",35A-253,N129TS,10005.0,Canada,395000.0,more than 10000 hours,upto 500000 hours,Other
Used,USD,Private Jets,1981,Bombardier Learjet,35A,"North America + Canada, United States - FL",35-434,N469BB,1072.0,Canada,395000.0,upto 2000 hours,upto 500000 hours,Other
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R44 Raven II,"North America + Canada, Canada",11196,C-FHZY,2200.0,United States,399000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Private Jets,1978,CESSNA,CITATION II,"North America + Canada, United States - AR",550-0032,N232CW,8819.0,United States,399000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2004,CESSNA,Turbo 206H Stationair,"North America + Canada, United States - MA",T20608487,N553TC,1280.0,United States,438000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R44 Clipper II,"Europe, Denmark",11194,OY-HZZ,737.0,United States,339000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2011,ROBINSON HELICOPTER,R44 Raven II,"North America + Canada, Canada",13161,C-GKDT,659.0,United States,335900.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R44 Raven II,"Europe, United Kingdom",-,-,1509.0,United States,448800.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2008,MOONEY INTERNATIONAL CORP,Acclaim,"North America + Canada, United States - FL",31-0080 ,N571LL,1198.0,United States,339600.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1986,BELL TEXTRON,206B III,"Europe, England, United Kingdom",tbc,G-BXAY,7000.0,United States,455400.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2016,ROBINSON HELICOPTER,R44 Raven I,"Europe, Austria",2436,OE-XYU,860.0,United States,345000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2011,ROBINSON HELICOPTER,R44 Raven II,"North America + Canada, Canada",13159,C-GVCT,800.0,United States,347000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Twin Piston,1976,CESSNA,421,"Europe, Switzerland",421-0140,N262MC,2440.0,United States,415310.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Twin Piston,2000,PIPER AIRCRAFT,Seneca V,"Europe, Denmark",3449183,OY-LAF,1400.0,United States,349000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2008,CIRRUS,SR22 G3 GTS,"North America + Canada, United States - FL",2953,N224FR,1322.0,United States,349500.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2006,PIPER AIRCRAFT,Saratoga,"North America + Canada, United States - FL",3257434,N614DM,1680.0,United States,349500.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1986,BELL TEXTRON,206B III,"Europe, England, United Kingdom",3946,G-BXAY,7183.0,United States,462000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1978,BELL TEXTRON,206B III,"North America + Canada, United States - TX",2397,N408MR ,204676.0,United States,350000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1981,BELL TEXTRON,206B,"South America, Venezuela",3409,-,207829.0,United States,350000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2016,ROBINSON HELICOPTER,R44,"North America + Canada, Canada",2440,C-GBVD,220.0,United States,358000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2005,CESSNA,Turbo 206H Stationair,"Africa, South Africa",-,-,800.0,United States,365000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Private Jets,1981,AERO COMMANDER,II,"North America + Canada, United States - FL",341,N818JH,7736.0,United States,375000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2006,CESSNA,400,"North America + Canada, United States - TX",41568,N2535P,1166.0,United States,345000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Twin Piston,2010,Partenavia,P68,"Europe, Germany",455/C,D-GFLY,15301500.0,Italy,476000.0,more than 10000 hours,upto 500000 hours,Other
Used,USD,Private Jets,1985,CESSNA,CITATION SII,"North America + Canada, United States",550-0068,N707OA,5507.0,United States,495000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1995,Agusta,A109C,"Europe, Italy",7665,G-HAGU,6926.0,Italy,392700.0,upto 10000 hours,upto 500000 hours,Other
Used,USD,Private Jets,1977,CESSNA,CITATION 500,"North America + Canada, United States - TX",500-0348,N713KM,99572.0,United States,300000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,MOONEY INTERNATIONAL CORP,Acclaim,"Europe, Germany",31-0074,N1032X,916.0,United States,359499.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Twin Piston,1978,CESSNA,414,"Europe, Germany",414A-0064,N82AW,5470.0,United States,310000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2008,ROBINSON HELICOPTER,R44 Raven II,"Europe, England, United Kingdom",12295,G-REG,2203.0,United States,409200.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2004,MOONEY INTERNATIONAL CORP,M20M,"Europe, Switzerland",27-0328,HB-DIR,1066.0,United States,312000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22 G3 Turbo GTS,"North America + Canada, United States - WI",2539,N230WJ,880.0,United States,315000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1978,BELL TEXTRON,206B III,"Europe, England, United Kingdom",-,N183DH,18484.0,United States,422400.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Turboprops,1998,BEECHCRAFT,A36 Bonanza TP,"North America + Canada, United States - TX",E-3192,N358SA,1230.0,United States,325000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1978,BELL TEXTRON,206B III,"North America + Canada, United States - IL",-,-,20490.0,United States,325000.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22 G3 Turbo GTS,"North America + Canada, United States - NC",2834,N856SR,1050.0,United States,327000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2008,CIRRUS,SR22 G3 Turbo GTS,"Europe, England, United Kingdom",2915,N262DB,974.0,United States,329000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2008,CESSNA,182T Skylane,"Australia & NZ, New Zealand",-,-,8207.0,United States,327000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22 G3 Turbo GTS,"North America + Canada, United States - NV",2528,N101GW,530.0,United States,329000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2019,GUIMBAL,Cabri G2,"Europe, Poland",-,-,59.0,France,396270.0,upto 1000 hours,upto 500000 hours,Other
Used,USD,Single Engine Piston,2007,CIRRUS,SR22 G3 Turbo GTS,"North America + Canada, United States - NV",2888,N344A,760.0,United States,335000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1974,Hughes Helicopters,369,"Europe, England, United Kingdom",940649S,G-HEWZ,78297.0,United States,409200.0,more than 10000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2004,ROBINSON HELICOPTER,R44 Clipper II,"Europe, United Kingdom",G-INDX,10491,350.0,United States,409200.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2012,ROBINSON HELICOPTER,R44 Raven II,"North America + Canada, Canada",13276,C-FPBL,635.0,United States,299000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22 G3 GTS,"North America + Canada, United States - NC",2643,N434MM,1440.0,United States,299000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2015,GUIMBAL,Cabri G2,"Europe, England, United Kingdom",1097,G-ICEJ,935.0,France,359040.0,upto 1000 hours,upto 500000 hours,Other
Used,USD,Private Jets,1982,AERO COMMANDER,II,"North America + Canada, United States - TX",368,N83SG,9360.0,United States,275000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2010,CIRRUS,SR20 G3,"North America + Canada, United States - CA",2059,N345BS,3100.0,United States,275000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1987,PIPER AIRCRAFT,Malibu,"North America + Canada, United States - MN",4608083,N9131X,7161.0,United States,279000.0,upto 10000 hours,upto 500000 hours,USA
